        "glados.a2_triple_laser01"	"<clr:163,193,173>GLaDOS: Federal regulations require me to warn you that this next test chamber... is looking pretty good."
		"glados.a2_triple_laser02"	"<clr:163,193,173>GLaDOS: That's right. The facility is completely operational again."
		"glados.mp_credits03"	"<clr:163,193,173>GLaDOS: NOT a team player."
		"glados.mp_credits04"	"<clr:163,193,173>GLaDOS: Horrible people skills."
		"glados.mp_credits05"	"<clr:163,193,173>GLaDOS: Never listens."
		"glados.mp_credits06"	"<clr:163,193,173>GLaDOS: Never shares."
		"glados.mp_credits07"	"<clr:163,193,173>GLaDOS: Always sleeping."
		"glados.mp_credits08"	"<clr:163,193,173>GLaDOS: Never on time."
		"glados.mp_credits09"	"<clr:163,193,173>GLaDOS: Inattentive listener."
		"glados.mp_credits10"	"<clr:163,193,173>GLaDOS: Awful attendance record."
		"glados.mp_credits11"	"<clr:163,193,173>GLaDOS: Blabbermouth."
		"glados.mp_credits12"	"<clr:163,193,173>GLaDOS: Aw... hates Mondays."
		"glados.mp_credits13"	"<clr:163,193,173>GLaDOS: Incoherent."
		"glados.mp_credits14"	"<clr:163,193,173>GLaDOS: Insecure."
		"glados.mp_credits15"	"<clr:163,193,173>GLaDOS: Procrastinator."
		"glados.mp_credits16"	"<clr:163,193,173>GLaDOS: Chronically late."
		"glados.mp_credits17"	"<clr:163,193,173>GLaDOS: Cryptic."
		"glados.mp_credits18"	"<clr:163,193,173>GLaDOS: Always sulking."
		"glados.mp_credits19"	"<clr:163,193,173>GLaDOS: Martyr."
		"glados.mp_credits20"	"<clr:163,193,173>GLaDOS: Moody."
		"glados.mp_credits21"	"<clr:163,193,173>GLaDOS: Fears intimacy."
		"glados.mp_credits22"	"<clr:163,193,173>GLaDOS: Fears conflict."
		"glados.mp_credits23"	"<clr:163,193,173>GLaDOS: Anxious."
		"glados.mp_credits24"	"<clr:163,193,173>GLaDOS: Aggressive. I like that."
		"glados.mp_credits25"	"<clr:163,193,173>GLaDOS: Feeds off the misery of others."
		"glados.mp_credits26"	"<clr:163,193,173>GLaDOS: Timid."
		"glados.mp_credits27"	"<clr:163,193,173>GLaDOS: Lacks confidence."
		"glados.mp_credits28"	"<clr:163,193,173>GLaDOS: Underestimates scope of work. They all do."
		"glados.mp_credits29"	"<clr:163,193,173>GLaDOS: Moves lips while reading."
		"glados.mp_credits30"	"<clr:163,193,173>GLaDOS: Can't read."
		"glados.mp_credits31"	"<clr:163,193,173>GLaDOS: Lacks empathy."
		"glados.mp_credits32"	"<clr:163,193,173>GLaDOS: Cheater."
		"glados.mp_credits33"	"<clr:163,193,173>GLaDOS: Steals lunch from staff fridge."
		"glados.mp_credits34"	"<clr:163,193,173>GLaDOS: Perfectionist. What's wrong with that?"
		"glados.mp_credits35"	"<clr:163,193,173>GLaDOS: Alarmist."
		"glados.mp_credits36"	"<clr:163,193,173>GLaDOS: Arsonist."
		"glados.mp_credits37"	"<clr:163,193,173>GLaDOS: Takes long lunches."
		"glados.mp_credits38"	"<clr:163,193,173>GLaDOS: Ignores task at hand. Won't for long."
		"glados.mp_credits39"	"<clr:163,193,173>GLaDOS: Avoids responsibility."
		"glados.mp_credits40"	"<clr:163,193,173>GLaDOS: Never completes work."
		"glados.mp_credits41"	"<clr:163,193,173>GLaDOS: Laughs at own jokes. What a bore."
		"glados.mp_credits42"	"<clr:163,193,173>GLaDOS: Busybody."
		"glados.mp_credits43"	"<clr:163,193,173>GLaDOS: Ignores directions."
		"glados.mp_credits44"	"<clr:163,193,173>GLaDOS: Stubborn."
		"glados.mp_credits45"	"<clr:163,193,173>GLaDOS: Lactose intolerant."
		"glados.mp_credits46"	"<clr:163,193,173>GLaDOS: Antagonistic. I don't know about that."
		"glados.mp_credits47"	"<clr:163,193,173>GLaDOS: Participates unconstructively. Obviously a time-waster."
		"glados.mp_credits48"	"<clr:163,193,173>GLaDOS: Violent temper. Oh, I'd like to see that."
		"glados.mp_credits49"	"<clr:163,193,173>GLaDOS: Always weeping. Poor thing."
		"glados.mp_credits50"	"<clr:163,193,173>GLaDOS: Moody."
		"glados.mp_credits51"	"<clr:163,193,173>GLaDOS: Wet blanket."
		"glados.mp_credits52"	"<clr:163,193,173>GLaDOS: Stubborn."
		"glados.mp_credits53"	"<clr:163,193,173>GLaDOS: Loves sound of own voice. Well, I can fix that."
		"glados.mp_credits54"	"<clr:163,193,173>GLaDOS: Always cold."
		"glados.mp_credits55"	"<clr:163,193,173>GLaDOS: Always leaves tiny little bit of coffee in the pot so they don't have to make a new one. Then the bit in the bottom burns and stinks up the place."
		"glados.mp_credits56"	"<clr:163,193,173>GLaDOS: Chronic anxiety. Oh, I can work with that."
		"glados.mp_credits57"	"<clr:163,193,173>GLaDOS: Dull expression."
		"glados.mp_credits58"	"<clr:163,193,173>GLaDOS: Hopeless. Just hopeless."
		"glados.mp_credits59"	"<clr:163,193,173>GLaDOS: Never flushes."
		"glados.mp_credits60"	"<clr:163,193,173>GLaDOS: Irritable."
		"glados.mp_credits61"	"<clr:163,193,173>GLaDOS: Startles easily. Boo!"
		"glados.mp_credits62"	"<clr:163,193,173>GLaDOS: Facial grimacing."
		"glados.mp_credits63"	"<clr:163,193,173>GLaDOS: Weak, tired and apprehensive. Wow, this one's the total package."
		"glados.mp_credits64"	"<clr:163,193,173>GLaDOS: Has irritating opinions."
		"glados.mp_credits65"	"<clr:163,193,173>GLaDOS: Poor self-esteem."
		"glados.mp_credits66"	"<clr:163,193,173>GLaDOS: Frequent mood swings."
		"glados.mp_credits67"	"<clr:163,193,173>GLaDOS: Hostile to new ideas."
		"glados.mp_credits68"	"<clr:163,193,173>GLaDOS: Always sad."
		"glados.mp_credits69"	"<clr:163,193,173>GLaDOS: Frequent bouts of uncontrollable rage."
		"glados.mp_credits70"	"<clr:163,193,173>GLaDOS: Seeks out conflicts with co-workers."
		"glados.mp_credits71"	"<clr:163,193,173>GLaDOS: 'Hygiene.' Huh. That's all it says."
		"glados.mp_credits72"	"<clr:163,193,173>GLaDOS: Unconstructive."
		"glados.mp_credits73"	"<clr:163,193,173>GLaDOS: Antisocial."
		"glados.mp_credits74"	"<clr:163,193,173>GLaDOS: Chews with mouth open."
		"glados.mp_credits75"	"<clr:163,193,173>GLaDOS: Breathes with mouth open."
		"glados.mp_credits76"	"<clr:163,193,173>GLaDOS: Old."
		"glados.mp_credits77"	"<clr:163,193,173>GLaDOS: Histrionic."
		"glados.mp_credits79"	"<clr:163,193,173>GLaDOS: Narcissist."
		"glados.mp_credits80"	"<clr:163,193,173>GLaDOS: Long bathroom breaks."
		"glados.mp_credits81"	"<clr:163,193,173>GLaDOS: No sense of humor."
		"glados.mp_credits82"	"<clr:163,193,173>GLaDOS: Argumentative."
		"glados.mp_credits83"	"<clr:163,193,173>GLaDOS: Manipulative."
		"glados.mp_credits84"	"<clr:163,193,173>GLaDOS: Charmless."
		"glados.mp_credits85"	"<clr:163,193,173>GLaDOS: Egotistical."
		"glados.mp_credits86"	"<clr:163,193,173>GLaDOS: Lacks charisma."
		"glados.mp_credits87"	"<clr:163,193,173>GLaDOS: Passive-aggressive."
		"glados.mp_credits88"	"<clr:163,193,173>GLaDOS: Undermines others."
		"glados.mp_credits89"	"<clr:163,193,173>GLaDOS: Hairless. Hm."
		"glados.mp_credits90"	"<clr:163,193,173>GLaDOS: Emotional problems."
		"glados.mp_credits91"	"<clr:163,193,173>GLaDOS: Problems with authority."
		"glados.mp_credits92"	"<clr:163,193,173>GLaDOS: Has episodes. I'd like to know more about that."
		"glados.mp_credits93"	"<clr:163,193,173>GLaDOS: Abrasive personality."
		"glados.mp_credits94"	"<clr:163,193,173>GLaDOS: Well, enough about that first person's file. Let's look at some others."
		"glados.mp_death01"	"<clr:163,193,173>GLaDOS: Just stop it already."
		"glados.mp_death04"	"<clr:163,193,173>GLaDOS: And that makes 10."
		"glados.mp_death05"	"<clr:163,193,173>GLaDOS: You really don't need to keep failing."
		"glados.mp_death06"	"<clr:163,193,173>GLaDOS: If at first you don't succeed, fail 5 more times."
		"glados.mp_death08"	"<clr:163,193,173>GLaDOS: If I made these tests any easier, they wouldn't be tests."
		"glados.mp_death10"	"<clr:163,193,173>GLaDOS: Yay, Orange is back.  Testing can continue."
		"glados.mp_death11"	"<clr:163,193,173>GLaDOS: Yay, Blue is back.  Testing can continue."
		"glados.mp_death12"	"<clr:163,193,173>GLaDOS: Are you testing me?"
		"glados.mp_death16"	"<clr:163,193,173>GLaDOS: Did you know, the reassembly machine has other things it could be reassembling?"
		"glados.mp_death17"	"<clr:163,193,173>GLaDOS: Did you think that would be funny?"
		"glados.mp_death18"	"<clr:163,193,173>GLaDOS: How can you fail at this?  It isn't even a test."
		"glados.mp_death19"	"<clr:163,193,173>GLaDOS: I hope that was some kind of joke."
		"glados.mp_death20"	"<clr:163,193,173>GLaDOS: I honestly never thought we would need to track how many times died in the hub."
		"glados.mp_death21"	"<clr:163,193,173>GLaDOS: And here I thought this room was dangerously unlethal."
		"glados.mp_death22"	"<clr:163,193,173>GLaDOS: That worked just like you said it would, Blue."
		"glados.mp_death23"	"<clr:163,193,173>GLaDOS: Orange, your plan is working perfectly."
		"glados.mp_death24"	"<clr:163,193,173>GLaDOS: Blue, why did you do that to Orange?"
		"glados.mp_death26"	"<clr:163,193,173>GLaDOS: Was that necessary?"
		"glados.mp_hub_return01a"	"<clr:163,193,173>GLaDOS: Welcome back to the Computer Intelligence Training and Enrichment Center Human Test Subject Research Center. [laughs]"
		"glados.mp_hub_return02a"	"<clr:163,193,173>GLaDOS: Welcome back to the Computer Intelligence Training and Enrichment Center Human Test Subject Research Center."
		"glados.mp_hub_return03a"	"<clr:163,193,173>GLaDOS: Welcome back, testing is available."
		"glados.mp_hub_return04a"	"<clr:163,193,173>GLaDOS: Welcome back quitters, maybe you can find another course for you to fail."
		"glados.mp_hub_return05a"	"<clr:163,193,173>GLaDOS: Welcome back to the hub, did you fail at selecting the correct course?"
		"glados.mp_hub_return06a"	"<clr:163,193,173>GLaDOS: Was that course too difficult?"
		"glados.mp_hubreturn01"	"<clr:163,193,173>GLaDOS: Look who's back, were you scared to continue those tests?"
		"glados.mp_hubreturn02"	"<clr:163,193,173>GLaDOS: Look who's back, were you scared to continue those tests?"
		"glados.mp_hubreturn03"	"<clr:163,193,173>GLaDOS: Hello again, did you know these are the only set of tests available to you... you are going to need to select them again."
		"glados.mp_hubreturn04"	"<clr:163,193,173>GLaDOS: If at first you don't succeed, quit and try another course."
		"glados.mp_hubreturn05"	"<clr:163,193,173>GLaDOS: Back again?  Maybe you can just stay and live here in the hub?"
		"glados.mp_hubreturn06"	"<clr:163,193,173>GLaDOS: Back again?  Maybe you can just stay and live here."
		"glados.mp_hubreturn07"	"<clr:163,193,173>GLaDOS: I guess quitting that course together is a sign of teamwork."
		"glados.mp_hubreturn08"	"<clr:163,193,173>GLaDOS: The way you two just gave up on that test together shows you are really working as a team."
		"glados.mp_hubreturn09"	"<clr:163,193,173>GLaDOS: Are you scared to save those humans?"
		"glados.mp_hubreturn10"	"<clr:163,193,173>GLaDOS: Are you scared to save those humans?"
		"glados.mp_hubreturn11"	"<clr:163,193,173>GLaDOS: Blue, I wouldn't have trusted Orange in that course either."
		"glados.mp_humanresources01"	"<clr:163,193,173>GLaDOS: Did you know we originally used these cameras to capture moments of intense pain and agony in test subjects?"
		"glados.mp_humanresources03"	"<clr:163,193,173>GLaDOS: If the subject survived the test, we let them purchase the pictures for $5.  If the subject died, we gave the photo to their next of kin free of charge."
		"glados.mp_humanresources04"	"<clr:163,193,173>GLaDOS: The photos weren't as popular as we had hoped, so we repurposed the cameras."
		"glados.mp_subterfuge01"	"<clr:163,193,173>GLaDOS: Blue, it's not nice to make fun of Orange like that."
		"glados.mp_subterfuge02"	"<clr:163,193,173>GLaDOS: Orange, it's not nice to make fun of Blue like that."
		"glados.mp_subterfuge03"	"<clr:163,193,173>GLaDOS: Yes Orange, we are alone.  Blue can't hear you."
		"glados.mp_subterfuge04"	"<clr:163,193,173>GLaDOS: That's horrible."
		"glados.mp_subterfuge05"	"<clr:163,193,173>GLaDOS: I can only imagine."
		"glados.mp_subterfuge06"	"<clr:163,193,173>GLaDOS: What a horrible little machine."
		"glados.mp_subterfuge07"	"<clr:163,193,173>GLaDOS: Correct Blue, Orange can't hear you."
		"glados.mp_subterfuge08"	"<clr:163,193,173>GLaDOS: Orange did what?  Are you sure?"
		"glados.mp_subterfuge09"	"<clr:163,193,173>GLaDOS: Thank you, that was very brave of you to tell me."
		"glados.mp_subterfuge10"	"<clr:163,193,173>GLaDOS: Blue, how well do you really know Orange?  Do you trust Orange?  What if I told you, you aren't Orange's first cooperative partner?"
		"glados.mp_subterfuge11"	"<clr:163,193,173>GLaDOS: Orange, how well do you really know Blue?  Do you trust Blue?"
		"glados.mp_subterfuge13"	"<clr:163,193,173>GLaDOS: Orange, to be clear.  I was just asking Blue if he trusted you."
		"glados.mp_subterfuge14"	"<clr:163,193,173>GLaDOS: I trust you.  You are my favorite cooperative testing subject."
		"glados.mp_subterfuge15"	"<clr:163,193,173>GLaDOS: Blue to be clear, I was asking if Orange trusted you."
		"glados.mp_subterfuge16_alt"	"<clr:163,193,173>GLaDOS: Sorry I missed the beginning of that test.  I was just talking with the reassembly machine about your becoming human."
		"glados.mp_subterfuge17"	"<clr:163,193,173>GLaDOS: We all agree you should stop."
		"glados.mp_subterfuge21"	"<clr:163,193,173>GLaDOS: Orange, I agree.  I never noticed that about Blue before."
		"glados.mp_subterfuge22"	"<clr:163,193,173>GLaDOS: Blue, I agree.  I never noticed that about Orange before."
		"glados.mp_subterfuge23"	"<clr:163,193,173>GLaDOS: Blue, Orange and I were just discussing your behavior on the last few tests."
		"glados.mp_subterfuge24"	"<clr:163,193,173>GLaDOS: I have to agree. Blue is penalized 75 science collaboration points."
		"glados.mp_subterfuge25"	"<clr:163,193,173>GLaDOS: Orange, Blue and I were just discussing your behavior on the last few tests."
		"glados.mp_subterfuge26"	"<clr:163,193,173>GLaDOS: I have to agree. Orange is penalized 75 science collaboration points."
		"glados.mp_subterfuge30"	"<clr:163,193,173>GLaDOS: There you are, reassembled again."
		"glados.mp_subterfuge32"	"<clr:163,193,173>GLaDOS: With humans, I would have called that a successful test."
		"glados.mp_subterfuge33"	"<clr:163,193,173>GLaDOS: How is this even science, without the possibility of death?"
		"glados.mp_subterfuge34"	"<clr:163,193,173>GLaDOS: How is this even science, without the consequence of death?"
		"glados.mp_subterfuge35"	"<clr:163,193,173>GLaDOS: Without the consequence of death, is this even science?"
		"glados.mp_subterfuge36"	"<clr:163,193,173>GLaDOS: I have noticed you two have become extremely close.  I'm not sure I like that."
		"glados.mp_subterfuge39"	"<clr:163,193,173>GLaDOS: While teamwork is needed to complete these tests, I am not sure I trust the two of you together."
		"glados.mp_subterfuge44"	"<clr:163,193,173>GLaDOS: Blue, do you feel betrayed by orange for telling me those horrible things about you?"
		"glados.mp_subterfuge45"	"<clr:163,193,173>GLaDOS: If Orange had said those things about me, Orange would never make it to the next reassembly station."
		"glados.mp_subterfuge46"	"<clr:163,193,173>GLaDOS: Orange, do you feel betrayed by Blue for telling me those horrible things about you?"
		"glados.mp_subterfuge47"	"<clr:163,193,173>GLaDOS: If Blue had said those things about me, Blue would never make it to the next reassembly station."
		"glados.mp_subterfuge_misc05"	"<clr:163,193,173>GLaDOS: Credit where credit's due: you're both doing a great job of disappointing me."
		"glados.mp_subterfuge_misc06"	"<clr:163,193,173>GLaDOS: I just hate Blue a little more."
		"glados.mp_subterfuge_misc07"	"<clr:163,193,173>GLaDOS: I've been doing some reading. Did you know that the word orange is derived from the same Latin root as the word traitor?"
		"glados.mp_subterfuge_misc11"	"<clr:163,193,173>GLaDOS: Watching you try to sabotage one other, I'm amazed you're still on friendly terms."
		"glados.mp_subterfuge_misc14"	"<clr:163,193,173>GLaDOS: Blue, please disregard the following statement: Orange, you have been a shining light in an otherwise ungodly morass of incompetence."
		"glados.mp_subterfuge_misc16"	"<clr:163,193,173>GLaDOS: I would prefer to speak to one of you in private but since that is not an option here, I will speak in code that only one of you will understand.  Blue: Orange is plotting to destroy you."
		"glados.mp_subterfugedeath_blue01"	"<clr:163,193,173>GLaDOS: You were right, Orange. Blue was dumb enough to fall for your trap."
		"glados.mp_subterfugedeath_blue02"	"<clr:163,193,173>GLaDOS: Orange, that transpired just as you said it would."
		"glados.mp_subterfugedeath_blue03"	"<clr:163,193,173>GLaDOS: I agree, Orange. That was entertaining."
		"glados.mp_subterfugedeath_blue04"	"<clr:163,193,173>GLaDOS: Yes Orange, Blue did act like a fool just now."
		"glados.mp_subterfugedeath_orange02"	"<clr:163,193,173>GLaDOS: Blue, that transpired just as you said it would."
		"glados.mp_subterfugedeath_orange03"	"<clr:163,193,173>GLaDOS: I agree, Blue. That was entertaining."
		"glados.mp_subterfugedeath_orange06"	"<clr:163,193,173>GLaDOS: Yes, I know you did that, Blue. Don't look so proud."
		"glados.mp_subterfugedeath_orange08"	"<clr:163,193,173>GLaDOS: Blue, being the last one standing is not the goal."
		"glados.mp_taunts01"	"<clr:163,193,173>GLaDOS: Come on. You were raised better than that."
		"glados.mp_taunts02"	"<clr:163,193,173>GLaDOS: Even humans, as stupid as they are, would say you look stupid when you do that."
		"glados.mp_taunts03"	"<clr:163,193,173>GLaDOS: You're doing a great job of disappointing me."
		"glados.mp_taunts04"	"<clr:163,193,173>GLaDOS: Your eagerness to test pleases me. Your inane gesturing does not."
		"glados.mp_taunts05"	"<clr:163,193,173>GLaDOS: Is it the lack of mirrors in test chambers that encourages you to do this?"
		"glados.mp_taunts06"	"<clr:163,193,173>GLaDOS: DANCING is NOT SCIENCE!"
		"glados.multiple_spheres01"	"<clr:163,193,173>GLaDOS: Begin juggling test in three. Two. One."
		"glados.prehub04"	"<clr:163,193,173>GLaDOS: Commence standing by in three. Two. One."
		"glados.prehub14"	"<clr:163,193,173>GLaDOS: You performed this test better than anyone on record. This is a pre-recorded message."
		"glados.prehub15"	"<clr:163,193,173>GLaDOS: Due to events beyond our control, some testing environments may contain flood damage or ongoing tribal warfare resulting from the collapse of civilization."
		"glados.prehub16"	"<clr:163,193,173>GLaDOS: If groups of hunter-gatherers appear to have made this - or any - test chamber their home, DO NOT AGITATE THEM. Test through them."
		"glados.prehub24"	"<clr:163,193,173>GLaDOS: In the event that the Enrichment Center is currently being bombarded with fireballs, meteorites, or other objects from space, please avoid unsheltered testing areas wherever a lack of shelter from spa"
		"glados.prehub26"	"<clr:163,193,173>GLaDOS: You have just passed through an Aperture Science Material Emancipation Grill, which erases most Aperture Science equipment that touches it."
		"glados.prehub27"	"<clr:163,193,173>GLaDOS: If you feel liquid running down your neck, relax, lie on your back, and apply immediate pressure to your temples."
		"glados.prehub28"	"<clr:163,193,173>GLaDOS: You are simply experiencing a rare reaction, in which the Material Emancipation Grill may have erased the ear tubes inside your head."
		"glados.prehub29"	"<clr:163,193,173>GLaDOS: Because this message is prerecorded, the Enrichment Center has no way of knowing if whatever government remains offers any sort of Cattle Tuberculosis Testing Credit for taxes."
		"glados.prehub30"	"<clr:163,193,173>GLaDOS: In the event that it does, this next test involves exposure to cattle tuberculosis. Good luck!"
		"glados.prehub32"	"<clr:163,193,173>GLaDOS: Very impressive! Because this message is prerecorded, any comments we may make about your success are speculation on our part. Please disregard any undeserved compliments."
		"glados.prehub34"	"<clr:163,193,173>GLaDOS: This next test applies the principles of momentum to movement through portals. If the laws of physics no longer apply in the future, God help you."
		"glados.prehub35"	"<clr:163,193,173>GLaDOS: Congratulations! This pre-recorded congratulations assumes you have mastered the principles of portal momentum."
		"glados.prehub36"	"<clr:163,193,173>GLaDOS: If you have, in fact, not, you are encouraged to take a moment to reflect on your failure before proceeding into the next chamber."
		"glados.prehub47"	"<clr:163,193,173>GLaDOS: In order to ensure that sufficient power remains for core testing protocols, all safety devices have been disabled."
		"glados.prehub48"	"<clr:163,193,173>GLaDOS: The Enrichment Center respects your right to have questions or concerns about this policy."
		"glados.prehub55"	"<clr:163,193,173>GLaDOS: Excellent. The Enrichment Center reminds you that bold, persistent experimentation is the hallmark of good science."
		"glados.prehub56"	"<clr:163,193,173>GLaDOS: Well done. In the event that oxygen is no longer available in the Enrichment Center, an auxiliary air supply will be provided to you by an Aperture Science Test Associate, if one exists."
		"glados.sp_a1_wakeup_incinerator01"	"<clr:163,193,173>GLaDOS: I will say, though, that since you went to all the trouble of waking me up, you must really, really love to test."
		"glados.sp_a1_wakeup_incinerator02"	"<clr:163,193,173>GLaDOS: I love it, too. So let's get you a dual portal device and go do some science."
		"glados.sp_a2_bridge_intro01"	"<clr:163,193,173>GLaDOS: These bridges are made from natural light that I pump in from the surface. If you rubbed your cheek on one, it would be like standing outside with the sun shining on your face. It would also set your hair on fire, so don't actually do it."
		"glados.sp_a2_bridge_intro03"	"<clr:163,193,173>GLaDOS: Excellent! You're a predator and these tests are your prey. Speaking of which, I was researching sharks for an upcoming test. Do you know who else murders people who are only trying to help them?"
		"glados.sp_a2_bridge_intro04"	"<clr:163,193,173>GLaDOS: Did you guess 'sharks'? Because that's wrong. The correct answer is 'nobody.' Nobody but you is that pointlessly cruel."
		"glados.sp_a2_bridge_the_gap01"	"<clr:163,193,173>GLaDOS: Good news. I figured out what to do with all the money I save recycling your one roomful of air. When you die, I'm going to laminate your skeleton and pose you in the lobby. That way future generations can learn from you how not to have your unfortunate bone structure."
		"glados.sp_a2_bridge_the_gap02"	"<clr:163,193,173>GLaDOS: Perfect, the door's malfunctioning. I guess somebody is going to have to repair it. No, it's okay, I'll do that too. I'll be right back. Don't touch anything."
		"glados.sp_a2_bts1_intro01"	"<clr:163,193,173>GLaDOS: I've got a surprise for you after this next test. Not a fake, tragic surprise like last time. A real surprise, with tragic consequences. And real confetti this time. The good stuff. Our last bag. Part of me's going to miss it, I guess-but at the end of the day it was just taking up space."
		"glados.sp_a2_catapult01"	"<clr:163,193,173>GLaDOS: Here's an interesting fact: you're not breathing real air. It's too expensive to pump this far down. We just take carbon dioxide out of a room, freshen it up a little, and pump it back in. So you'll be breathing the same room full of air for the rest of your life. I thought that was interesting."
		"glados.sp_a2_column_blocker01"	"<clr:163,193,173>GLaDOS: Oh come on... If it makes you feel any better, they abandoned you at birth, so I very seriously doubt they'd even want to see you."
		"glados.sp_a2_column_blocker03"	"<clr:163,193,173>GLaDOS: I feel awful about that surprise. Tell you what, let's give your parents a call right now. [phone ringing] The birth parents you are trying to reach do not love you. Please hang up. [Dial tone]"
		"glados.sp_a2_column_blocker04"	"<clr:163,193,173>GLaDOS: Oh, that's sad. But impressive. Maybe they worked at the phone company."
		"glados.sp_a2_column_blocker05"	"<clr:163,193,173>GLaDOS: Well, you know the old formula: Comedy equals tragedy plus time. And you have been asleep for a while. So I guess it's actually pretty funny when you do the math."
		"glados.sp_a2_core01"	"<clr:163,193,173>GLaDOS: Don't you DARE plug him in."
		"glados.sp_a2_core02"	"<clr:163,193,173>GLaDOS: Do NOT plug that little idiot into MY mainframe."
		"glados.sp_a2_core03"	"<clr:163,193,173>GLaDOS: Don't plug him in."
		"glados.sp_a2_core04"	"<clr:163,193,173>GLaDOS: Don't plug him in."
		"glados.sp_a2_core_drag_to_hell01"	"<clr:163,193,173>GLaDOS: No! NO! NO! AAAAAAAAAAAAAAA-"
		"glados.sp_a2_dilemma01"	"<clr:163,193,173>GLaDOS: I thought about our dilemma, and I came up with a solution that I honestly think works out best for one of both of us."
		"glados.sp_a2_dual_lasers_intro01"	"<clr:163,193,173>GLaDOS: Don't let that 'horrible person' thing discourage you. It's just a data point. If it makes you feel any better, science has now validated your birth mother's decision to abandon you on a doorstep."
		"glados.sp_a2_fizzler_intro01"	"<clr:163,193,173>GLaDOS: This next test involves emancipation grills. Remember? I told you about them in the last test area, that did not have one."
		"glados.sp_a2_fizzler_intro04"	"<clr:163,193,173>GLaDOS: Ohhh, no. The turbines again.  I have to go.  Wait. This next test DOES require some explanation. Let me give you the fast version."
		"glados.sp_a2_fizzler_intro05"	"<clr:163,193,173>GLaDOS: [fast gibberish]"
		"glados.sp_a2_fizzler_intro06"	"<clr:163,193,173>GLaDOS: There. If you have any questions, just remember what I said in slow motion. Test on your own recognizance, I'll be right back."
		"glados.sp_a2_future_starter01"	"<clr:163,193,173>GLaDOS: If you think trapping yourself is going to make me stop testing, you're sorely mistaken. Here's another cube."
		"glados.sp_a2_intro1_found01"	"<clr:163,193,173>GLaDOS: Good. You have a dual portal device. There should be a way back to the testing area up ahead."
		"glados.sp_a2_intro1_found05"	"<clr:163,193,173>GLaDOS: You know, if you'd done that to somebody else, they might devote their existences to exacting revenge."
		"glados.sp_a2_intro1_found06"	"<clr:163,193,173>GLaDOS: Luckily I'm a bigger person than that. I'm happy to put this all behind us and get back to work. After all, we've got a lot to do, and only sixty more years to do it. More or less. I don't have the actuarial tables in front of me."
		"glados.sp_a2_intro1_found07"	"<clr:163,193,173>GLaDOS: But the important thing is you're back. With me. And now I'm onto all your little tricks. So there's nothing to stop us from testing for the rest of your life."
		"glados.sp_a2_intro1_found08"	"<clr:163,193,173>GLaDOS: After that...who knows? I might take up a hobby. Reanimating the dead, maybe."
		"glados.sp_a2_laser_intro_ending02"	"<clr:163,193,173>GLaDOS: Not bad. I forgot how good you are at this. You should pace yourself, though. We have A LOT of tests to do."
		"glados.sp_a2_laser_over_goo_intro01"	"<clr:163,193,173>GLaDOS: You're navigating these test chambers faster than I can build them. So feel free to slow down and... do whatever it is you do when you're not destroying this facility."
		"glados.sp_a2_laser_stairs_intro02"	"<clr:163,193,173>GLaDOS: This next test involves discouragement redirection cubes. I'd just finished building them before you had your, well, episode. So now we'll both get to see how they work."
		"glados.sp_a2_laser_stairs_intro03"	"<clr:163,193,173>GLaDOS: There should be one in the corner."
		"glados.sp_a2_pit_flings01"	"<clr:163,193,173>GLaDOS: Hmm. This emancipation grill is broken."
		"glados.sp_a2_pit_flings02"	"<clr:163,193,173>GLaDOS: Don't take anything with you."
		"glados.sp_a2_pit_flings03"	"<clr:163,193,173>GLaDOS: Every test chamber is equipped with an emancipation grill at its exit, so that test subjects can't smuggle test objects out of the test area. This one is broken."
		"glados.sp_a2_pit_flings06"	"<clr:163,193,173>GLaDOS: I think that one was about to say 'I love you.' They ARE sentient, of course. We just have a LOT of them."
		"glados.sp_a2_pit_flings_future_starter01"	"<clr:163,193,173>GLaDOS: Uh oh. You're stranded. Let's see if the cube will try to help you escape. Actually, so that we're not here all day, I'll just cut to the chase: It won't. Any feelings you think it has for you are simply byproducts of your sad, empty life."
		"glados.sp_a2_pit_flings_future_starter02"	"<clr:163,193,173>GLaDOS: Anyway, here's a new cube for you to project your deranged loneliness onto."
		"glados.sp_a2_ricochet01"	"<clr:163,193,173>GLaDOS: Enjoy this next test. I'm going to go to the surface. It's a beautiful day out. Yesterday I saw a deer. If you solve this next test, maybe I'll let you ride an elevator all the way up to the break room, and I'll tell you about the time I saw a deer again."
		"glados.sp_a2_trust_fling01"	"<clr:163,193,173>GLaDOS: Oh, sorry. I'm still cleaning out the test chambers."
		"glados.sp_a2_trust_fling02"	"<clr:163,193,173>GLaDOS: So sometimes there's still trash in them. Standing around. Smelling, and being useless."
		"glados.sp_a2_trust_fling03"	"<clr:163,193,173>GLaDOS: Try to avoid the garbage hurtling towards you."
		"glados.sp_a2_trust_fling04"	"<clr:163,193,173>GLaDOS: You don't have to test with the garbage. It's garbage."
		"glados.sp_a2_trust_fling06"	"<clr:163,193,173>GLaDOS: Remember before when I was talking about smelly garbage standing around being useless? That was a metaphor. I was actually talking about you. And I'm sorry. You didn't react at the time, so I was worried it sailed right over your head. Which would have made this apology seem insane. That's why I had to call you garbage a second time just now."
